mesh_prefix_original_absolute,mesh_base,field_code_fa,field_V_per_cm_inferred_times10,direction_sequence,N_dir,activation_time_ms
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.03,0.3,X,1,15.45
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.03,0.3,Y,1,14.1
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.04,0.4,X,1,13.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.04,0.4,Y,1,12.6
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.05,0.5,X,1,13.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.05,0.5,Y,1,11.8
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNo,testeNo,0.05,0.5,x,1,13.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNo,testeNo,0.05,0.5,y,1,12.35
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNo,testeNo,0.05,0.5,X,1,13.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNo,testeNo,0.05,0.5,Y,1,11.8
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNo,testeNo,0.05,0.5,x,1,13.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNo2,testeNo2,0.05,0.5,x,1,23.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNo2,testeNo2,0.05,0.5,y,1,19.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNo2,testeNo2,0.05,0.5,X,1,23.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNo2,testeNo2,0.05,0.5,Y,1,21.0
